dA  dB
120.386459 75.354660
66.481865 92.786732
58.946206 111.736698
94.014098 81.378700
104.770135 76.692796
61.835878 119.798522
113.001495 63.128613
58.079886 125.935884
62.198751 128.671157
75.480656 118.317841
136.229448 102.569394
130.503835 59.929186
116.986705 72.428441
66.825288 122.215024
128.165425 137.230480
54.999640 108.657391
90.533979 131.966966
109.619396 55.909914
116.447087 63.425320
103.034804 59.128277
131.142985 87.878726
76.152924 115.496929
131.900589 72.716922
96.745877 127.858825
96.177648 67.756761
66.380289 105.429968
111.227181 147.587910
105.719551 63.230236
124.168709 73.474046
52.685677 114.908853
87.754613 99.174061
116.735936 133.857248
78.598707 109.841544
58.357232 136.351908
97.137314 133.751553
110.763513 59.766425
124.313891 55.799843
101.975232 130.081935
128.811993 94.200830
79.588031 136.930465
75.354406 108.640110
125.049533 67.583480
67.116177 129.866886
68.412928 110.810114
107.988781 63.881916
50.184020 117.816610
115.092457 140.972307
56.312976 147.688024
50.491744 109.839559
92.436626 67.464082
103.707728 58.111428
48.096882 140.189443
47.546889 100.467844
64.054331 114.732949
78.981492 143.258745
78.048555 117.402447
63.638097 101.313442
68.554726 96.511429
73.456304 126.670913
58.484751 110.744523
115.659113 60.980053
64.118016 109.381649
50.893466 117.428787
123.410802 89.075902
58.764418 125.220167
107.631359 56.749079
56.808453 112.250935
101.982096 44.171021
46.563390 115.635143
113.679854 89.627018
60.083047 121.262593
63.282465 126.609021
57.530093 124.988923
62.568918 130.795186
126.670167 91.383286
46.233738 112.875874
65.572381 145.893025
62.587351 130.558949
121.914282 59.558795
54.138626 141.237626
106.891630 62.667222
135.889093 106.851278
64.298914 126.227666
73.612119 120.748215
113.367310 56.759549
65.038851 88.901684
121.539666 103.111168
60.555014 108.159804
63.695594 126.370295
114.574652 55.827909
67.298469 114.377827
121.589749 61.716457
118.467445 59.922917
69.197486 125.607211
136.438054 68.561383
55.068010 151.544826
147.357263 52.865794
103.217148 53.353433
72.786520 104.952938
83.423233 96.766724
78.557238 97.268353
117.215922 51.374788
134.448796 106.827136
55.859737 127.872155
107.894942 66.405352
115.620100 52.487235
85.789900 108.013881
81.353910 126.408152
65.967061 136.112491
137.350627 65.515515
103.882864 77.754963
100.481218 125.878538
56.689705 128.450425
125.092651 76.723758
96.897046 54.417778
121.906315 63.842737
99.626224 41.336063
60.018253 124.690558
97.098412 57.254056
57.251952 130.317440
57.666579 132.276317
121.702265 58.976365
43.399582 146.082844
65.101893 152.154124
54.619113 107.053144
95.915366 146.620273
56.068931 113.825132
93.771822 156.628078
50.718087 148.961075
107.174630 73.757701
166.413854 101.279180
113.526014 37.040132
126.550172 58.233029
123.573506 68.396405
53.887500 108.002196
55.681398 121.892471
123.311216 75.747907
116.443510 81.082405
51.285887 111.748032
78.666560 125.211754
56.445299 89.900937
137.915871 73.224999
57.882445 103.709517
128.431715 89.989968
106.841193 66.384639
127.696271 76.250748
57.180597 117.000435
98.952960 49.251166
125.814444 69.626407
159.884624 93.843067
57.047451 123.948785
118.062865 63.321326
94.969231 64.033321
61.411295 115.934257
63.075752 140.241492
48.667441 140.473946
118.887419 62.630683
101.162212 103.130951
66.913948 127.598003
118.934028 76.690587
115.072031 58.001136
122.928686 85.789253
47.754321 121.971352
47.615619 95.088624
71.375552 100.125657
65.151105 134.278982
54.025989 93.641410
119.960083 47.094792
55.376141 118.875470
135.707007 65.686292
124.600902 142.412696
132.903840 55.195010
153.393322 79.410766
144.374590 66.795813
123.908774 67.389766
92.071878 105.820320
98.925777 69.620207
103.079409 143.187720
45.544044 105.232946
114.757209 64.500711
76.020358 127.971151
94.806426 136.114962
118.194465 56.535286
60.672345 144.504876
112.396024 138.849077
135.843869 99.738850
60.226320 105.157029
93.318368 112.431630
69.113933 125.395102
93.591047 98.778715
137.762516 104.467790
60.254518 125.303567
69.764088 114.950341
63.509621 144.342614
115.299204 66.398955
67.130188 117.856345
113.864694 81.167360
67.789066 83.331438
53.174040 102.493751
112.244178 57.953966
123.417117 51.891937
99.615933 149.554710
126.139356 119.075124
62.262299 119.571976
113.570876 73.860864
67.777271 111.510636
55.864983 122.453629
126.011706 72.188923
111.227897 61.602022
88.746290 133.314458
64.270012 114.731531
116.673015 52.946670
60.935829 118.949133
119.511751 68.697402
57.889037 126.706128
60.489804 128.538966
118.540971 73.775346
117.846421 65.258097
137.705616 69.711660
61.788176 113.839965
77.884532 109.909144
81.108849 110.048409
113.375068 58.037712
49.188983 123.846054
140.000730 119.710805
71.301695 94.027757
68.366974 121.063792
72.177536 104.339155
80.380204 135.690336
62.654221 96.673570
66.188036 121.593442
121.365383 63.472708
43.938330 93.986004
63.816097 84.821014
54.128304 100.619004
56.379263 90.356586
133.963592 63.365075
109.115042 48.549494
67.829398 119.995747
128.704950 58.830094
122.117323 62.582796
141.201631 58.208489
118.386094 56.608566
57.788657 120.800100
97.048091 57.322837
64.013314 140.548840
59.730750 123.512629
61.216220 130.401722
128.477451 61.368067
143.170289 113.806897
122.112908 83.669256
118.144525 59.655515
52.955177 111.358887
82.695478 140.295996
127.989696 86.932103
153.048249 73.085814
69.625039 127.257458
109.336189 51.473319
119.075009 68.356534
65.058817 95.195916
61.032065 133.463915
123.639369 55.610860
91.658239 128.090265
60.771356 118.477165
127.390300 94.848184
149.802664 119.435133
101.730514 163.208398
99.432751 75.088022
76.612714 103.988027
120.404911 80.458843
47.997545 100.624705
48.326466 113.038865
145.600648 104.300074
95.488439 132.258732
116.278398 117.993986
117.153137 55.450540
65.173514 145.132844
133.526332 87.186998
122.142644 58.223634
95.195682 140.606732
58.235759 122.393606
67.483720 110.911358
133.626064 88.602592
119.838863 48.281222
56.381993 139.177731
97.256191 58.048216
51.237924 124.283604
119.432367 91.094806
126.876788 58.564957
59.239246 122.259310
147.584737 62.915366
100.056119 59.369787
106.347520 57.739025
125.637074 93.355552
113.790417 66.807321
128.111126 55.468548
123.161296 53.647377
135.241269 108.028050
89.625472 119.420132
61.190503 138.759185
109.374574 122.821220
52.344783 134.334799
124.677319 108.486001
131.918693 79.437078
116.466804 53.764911
149.674844 104.353877
104.675935 53.371392
103.225555 50.605279
57.206845 111.251822
57.807558 100.555103
128.966623 59.931679
47.147059 124.196723
141.952026 74.820751
91.477439 58.936010
95.230331 150.661638
135.600779 76.896385
52.168975 126.779947
56.566499 107.012725
57.383796 123.719084
128.759722 57.641900
112.877357 61.780366
42.317271 125.795589
109.319227 132.445242
61.335032 161.227754
103.495684 57.391629
119.674317 59.416262
137.935785 68.600834
85.944656 129.295104
103.357950 99.818526
114.524230 50.217613
110.900226 70.162822
113.967127 61.046546
100.924088 56.808271
131.589853 43.913671
125.028938 62.507873
115.318736 60.727777
63.566636 123.985888
97.235851 89.712930
105.490973 133.442703
119.918516 52.524843
85.470748 127.056020
106.699075 68.407513
53.140395 111.354805
118.076188 62.616319
121.939889 80.814343
94.411087 143.685383
65.866032 105.949810
106.726998 74.269184
48.155955 123.955823
82.046141 106.312520
115.391621 72.588496
101.400348 70.403271
60.632163 114.239452
48.066565 125.921076
114.194010 146.955812
110.249116 62.934506
61.342507 126.934603
98.395045 85.471601
57.252181 118.273425
123.934636 59.111664
107.399621 53.420682
108.548719 61.773945
121.730127 66.690788
57.014366 120.181773
137.621020 54.805934
62.255271 109.970988
105.215228 105.160341
96.874638 136.480958
82.955874 116.516648
80.639520 151.956456
66.309709 113.139945
125.900785 67.536519
47.588468 120.148141
100.699683 88.226024
58.060539 123.330490
59.522534 104.059905
106.634953 132.692395
128.181569 76.698529
89.293878 89.021400
42.959189 147.277009
130.017236 110.166795
127.780693 94.854096
132.217828 75.419019
51.611073 120.034399
95.514550 180.226082
80.655460 104.311265
96.884806 63.704372
87.661734 111.254727
105.806947 146.645010
58.299454 109.920821
72.041639 127.116732
65.125418 129.277103
124.812135 58.733935
122.535293 52.909594
117.098659 58.806754
122.282331 65.480416
111.400216 62.702261
127.198621 55.469499
120.845738 66.030446
70.670144 119.790604
55.595857 124.429768
51.144338 124.023997
108.761445 139.521682
53.221354 120.258288
107.124683 61.718874
62.924876 117.896798
104.195514 92.978006
42.675108 112.861687
128.583689 78.538586
63.033879 118.164541
63.432418 106.363000
154.683357 66.697706
62.904570 117.826387
54.718722 98.508732
54.910191 104.531596
80.018100 103.338521
136.038811 58.858108
59.656887 120.624147
120.498464 72.060173
69.786330 94.217583
70.510762 109.009165
149.264805 77.712953
67.917586 126.795804
128.071591 67.207707
124.064785 63.941163
114.404157 66.734837
48.994324 94.794208
94.939014 63.115054
51.136251 112.450904
126.658624 72.512992
98.868393 62.519833
87.759391 55.792470
150.681577 63.389553
132.887137 66.936640
