a(a10,glob) d(membrane)
144.348353 45.570007
158.914348 43.740013
135.663302 58.470009
133.485118 65.580009
111.885708 68.210007
101.029516 62.910011
71.708398 67.040009
69.515598 53.420006
80.600316 65.200012
107.822973 56.630005
95.320574 55.280006
135.271428 41.150002
105.914036 32.860001
94.620129 51.240013
97.767020 37.449997
99.745961 31.150009
95.859468 29.000000
120.324036 30.020004
129.292486 35.460007
133.637974 30.800003
133.035318 37.080002
159.142620 29.980011
151.192058 34.720001
155.729373 32.320007
147.434830 34.020004
114.061826 35.390015
141.584348 31.900009
135.498232 37.370010
119.509131 35.110001
137.012325 33.160004
157.954901 28.070007
129.441552 32.580002
161.906160 22.120010
130.058339 27.240005
139.393175 40.620010
129.058438 47.180008
124.388439 44.670006
108.024009 50.230003
127.759021 49.930008
75.894147 49.550003
136.312671 38.699997
120.764412 33.910004
122.458774 44.740005
110.263883 35.030014
122.175436 30.430008
133.545165 32.400009
130.101829 47.710007
141.096490 49.010010
155.220567 47.129997
128.956535 50.780006
170.738657 45.380005
151.424801 46.260010
150.688442 43.040009
128.273966 45.060013
145.466894 44.820007
115.276436 37.169998
114.006385 42.060013
141.456955 39.120010
120.201793 52.630013
125.777989 28.389999
162.095724 33.270004
148.797502 43.410011
167.519154 38.220016
170.427798 37.960007
155.148319 44.540009
137.740653 41.810005
153.576563 43.600006
113.317647 45.810013
132.842647 42.330002
87.957142 22.440018
113.257206 33.240005
131.816562 32.279999
175.796812 41.280006
167.238604 36.260010
132.612549 27.510010
141.739803 38.070007
136.323386 39.389999
137.541972 46.709999
123.352748 54.790009
122.903176 57.420013
102.367940 53.640007
120.262593 47.409996
107.707423 42.190002
142.360007 48.410011
136.975424 49.390007
130.336124 52.829994
140.154797 52.820000
150.755445 54.410004
147.584376 45.200012
143.367340 48.020004
143.593261 50.160004
120.355249 43.010002
128.955507 44.620003
130.764105 41.170013
109.217949 39.169998
126.402322 36.440002
110.410239 29.320007
109.200959 31.640015
105.332880 28.360016
125.428665 36.280014
137.605183 42.290009
170.537970 48.280006
158.142319 40.120010
150.760402 41.980003
137.172747 38.440002
118.939779 35.480011
134.914910 31.510010
109.960132 25.320007
137.371623 26.660004
134.422446 24.740005
129.660442 19.600006
158.870811 23.180008
136.999023 16.540009
122.087573 22.040009
132.836792 20.620010
114.124014 20.540009
111.925242 26.230011
127.745743 25.170013
147.024247 23.600006
145.146327 25.260010
146.634851 28.800003
154.144490 35.520004
118.756515 40.800003
95.354140 50.049995
107.404416 42.520004
87.215518 45.609993
120.348874 43.190010
137.667181 35.839996
110.891106 43.590012
128.873185 47.770012
108.540215 51.500015
108.479610 47.990005
108.617782 46.930008
149.797067 48.799995
149.678085 37.440018
151.576665 38.910004
129.089535 45.430008
141.048362 42.040009
142.726792 42.300011
137.594147 37.950012
123.913056 31.720001
97.965040 38.330002
81.947865 27.180008
87.030654 33.540009
108.933588 40.070007
107.378865 49.380005
92.193880 54.610008
118.134933 63.870010
109.660629 59.550003
149.400396 58.490005
142.556054 59.760002
135.725078 63.120010
82.655051 54.240005
117.017298 74.960007
124.906147 68.190010
97.037364 65.630013
93.863658 57.860008
84.501527 61.500015
87.196710 60.390015
99.246545 54.090012
95.556668 62.880005
142.062150 66.290001
121.241016 54.610008
120.603449 40.749992
123.272063 57.030006
133.659647 69.930008
142.653709 71.560005
146.686463 75.180000
138.231936 53.490005
112.593376 54.520012
111.360022 70.040001
144.364141 71.330009
167.902500 72.640007
176.508451 71.740005
143.351964 73.420006
172.348934 67.440010
143.378382 66.430000
111.977107 63.090004
130.270865 64.740005
135.877926 63.310013
140.531369 58.810013
146.640862 65.370010
150.578856 83.780006
150.934179 75.950012
122.205132 61.070007
136.563345 59.810005
136.771910 61.849998
156.182057 68.070007
143.888219 63.150009
136.721557 56.330009
151.116049 61.140007
161.577652 59.130005
109.120383 57.500008
161.291188 67.240005
147.160163 68.900009
151.621030 70.540009
133.607093 70.100006
136.737680 81.520012
137.816034 77.940010
99.154550 85.540009
141.270648 76.200005
118.665793 80.150009
119.457936 75.560013
142.673626 72.409996
141.030070 73.260010
108.515795 66.750008
116.195804 65.990005
113.790435 68.270012
136.003396 73.850006
124.286788 73.550011
132.835484 65.810013
100.607260 56.470009
125.057850 62.820000
104.486753 65.930008
151.796926 73.540009
76.425938 47.610001
97.418032 58.850006
98.462956 71.480011
124.804160 68.370003
113.880417 76.830009
101.764389 81.439995
114.549172 91.070007
130.732730 87.470016
136.308597 82.129997
133.027562 73.860016
172.311065 81.220016
154.244357 80.130013
129.821941 75.630013
143.215840 75.070007
145.907383 70.630013
132.392593 70.970009
152.122590 68.770004
152.433426 64.430008
159.521536 64.769997
133.956967 54.359993
157.926276 60.260010
154.468381 51.890007
142.376356 48.529991
141.188968 56.100014
89.337348 55.540009
102.252012 57.760010
158.200926 63.080009
175.955377 58.659996
170.905147 58.980003
138.585385 45.280006
151.713086 48.830009
169.853553 52.969994
165.757545 52.260002
161.429570 50.280006
157.688570 38.590012
158.790371 48.430008
165.201232 45.780006
133.820186 62.880005
143.598526 58.010010
120.011626 56.700005
127.478635 51.700005
151.872866 60.370010
114.314400 61.670006
142.563110 62.540001
137.960669 55.500008
127.349696 59.040009
121.765597 54.470009
118.341812 56.070007
137.511860 49.260010
168.713115 45.670013
146.218238 46.060005
119.276768 49.590012
106.230908 49.130005
95.365546 49.440010
94.406291 46.060005
125.274482 34.870010
97.285573 33.370010
126.077033 41.060005
109.950190 50.599998
126.323144 48.090004
124.268132 50.739998
115.125048 47.129997
130.329928 47.420013
121.761677 45.749992
153.347857 59.720009
133.629226 60.090004
160.089728 51.250008
126.723604 57.829994
117.683115 62.290009
158.786747 64.710014
156.438497 66.240013
133.478980 53.050011
135.866306 39.589996
141.253752 39.720001
140.800821 32.580002
175.891723 39.430008
158.965592 35.060013
147.567478 29.090012
128.225995 41.660011
111.296331 44.290009
108.196263 39.919998
104.590890 37.040009
109.363663 41.890007
129.582424 34.230011
114.805821 41.800011
142.026458 43.580002
131.264450 41.620003
148.951246 39.430008
123.347151 45.260010
130.534221 43.680008
162.148421 43.320007
159.569812 34.710007
157.251873 34.440002
135.462355 30.040009
171.559033 43.670013
146.335624 44.489998
132.034615 56.640015
120.466047 51.340004
144.591711 40.130013
117.175361 36.060013
123.498468 48.490005
104.458142 52.269997
121.081646 49.380005
98.151864 52.770012
84.442164 57.600006
113.268592 65.850006
93.586881 68.170013
114.702262 59.240005
106.921224 58.239998
87.042258 56.280006
105.109238 47.840012
111.242253 48.650002
112.731129 40.200012
112.543963 39.760010
146.651111 40.060013
113.854039 43.230003
130.080460 48.280006
157.106026 40.230003
139.556839 47.230011
149.712690 56.980003
159.178840 41.050011
137.351482 46.540009
108.984691 35.670013
124.124706 34.309998
105.685628 30.200012
145.190363 33.990005
140.605827 35.530014
142.835196 36.780014
142.384776 38.760010
130.841289 47.820000
152.626248 50.660004
120.784234 47.129997
126.334636 54.970001
105.105679 45.380005
90.195602 35.370010
97.182509 36.930008
98.470941 33.470001
102.251118 35.390015
84.423388 44.690002
63.915364 54.690002
81.966824 50.450005
117.633510 57.180008
106.473012 51.410004
89.518355 55.390015
97.715874 52.840012
100.654498 64.710014
128.740392 59.260010
129.850383 62.050003
134.569046 62.890015
132.685878 49.650009
117.616943 40.070007
142.504206 45.360008
158.947027 46.600006
153.477996 43.939995
143.660602 41.520012
145.456118 45.980011
134.208787 49.480003
149.118457 40.140007
133.235570 39.290009
114.971513 25.000000
90.422609 25.310013
133.308407 46.410004
137.912793 29.660004
140.169121 32.169998
105.286935 27.870010
104.176318 37.520004
121.366097 33.020004
159.773084 38.830002
127.627888 32.340012
117.993074 36.360001
143.438250 36.700012
150.771373 35.630005
140.773018 31.470016
132.434034 33.870010
122.013802 26.910004
101.291225 30.860016
100.614964 37.210007
100.830166 53.280006
133.821488 44.730011
124.633583 41.680008
110.774467 43.540009
91.953480 34.500000
100.549738 43.379997
71.278605 40.670013
114.330517 34.580002
104.357993 45.710007
107.119052 45.480011
100.218549 40.889992
103.401426 43.590012
84.412850 31.180008
98.848974 35.980011
123.612721 45.329994
105.298640 54.860008
89.200006 62.200012
71.950967 54.010010
76.526787 62.170006
70.388970 73.280006
67.224636 69.650009
88.556138 66.360016
122.674024 65.210007
97.638364 66.010002
148.610089 46.849998
128.106366 46.510010
121.725430 55.830009
92.298006 57.700012
108.598410 55.960007
129.457902 43.490005
130.820920 58.820007
84.508679 53.740013
72.004034 55.430008
90.296780 57.810005
90.577364 57.780006
126.370268 48.650002
140.654750 50.550011
144.262148 55.960007
118.670689 60.730003
116.793948 59.200005
123.522855 62.829994
112.894298 55.469994
103.762649 60.950012
107.273628 63.450012
127.879902 64.850014
142.550831 64.120010
114.820711 65.710007
154.308508 47.020004
152.957207 49.769997
157.831450 43.830009
144.654368 54.230011
149.418153 43.500008
154.344689 43.160004
144.709264 47.340012
163.607939 48.990005
167.301184 43.000008
129.633463 72.269997
118.982008 84.860008
100.803665 83.799995
118.598725 80.790009
105.318436 87.120003
76.500776 73.120010
121.572988 72.380005
123.451315 74.720009
117.940876 64.890007
125.771839 51.260010
139.519712 59.380005
138.827256 55.690010
122.571374 57.730003
120.227591 53.430008
140.422051 52.340012
121.603510 44.650009
123.954217 54.590012
144.638072 47.640007
172.873958 54.960007
152.717531 49.359993
179.309595 52.930008
151.568157 51.960007
131.820516 51.620003
107.229668 38.930008
138.130504 40.320000
169.197059 43.450012
170.027642 48.090004
149.828812 40.370003
117.957697 36.690002
121.973128 36.360001
139.849327 37.080002
158.441814 33.030014
142.301937 23.290009
165.034316 26.240005
123.313867 28.389999
118.268210 32.630005
97.614859 33.900009
95.649159 37.430008
73.901384 28.930008
92.361744 27.250015
97.020937 38.640015
83.704899 48.140007
139.588247 40.469994
118.443943 40.070007
125.603424 30.430008
158.469322 48.389992
150.707401 54.010010
116.174231 58.550011
112.863949 54.290009
127.177036 52.969994
144.525020 59.470009
125.456507 55.130013
130.824688 52.139992
140.747028 45.049995
167.633223 48.150009
170.745598 46.650009
140.409280 44.600006
146.551040 54.660011
148.404206 52.090012
148.383210 47.279991
121.211902 47.800003
163.661889 38.260010
153.464470 37.850006
140.963088 37.790009
111.756017 29.380005
117.920884 40.310005
115.035339 22.190002
113.425109 21.450012
117.871151 20.320007
109.467273 20.050003
112.951155 20.710007
96.258961 16.360001
97.321737 9.890015
87.601078 11.250000
87.794466 10.889999
98.521696 14.550003
112.010466 22.449997
121.711921 22.010010
113.194954 19.830002
112.544159 23.730011
101.709607 21.070007
116.752567 23.350006
94.741488 21.400009
95.565259 20.530014
105.051624 20.440002
106.734915 18.510010
101.733931 18.500015
98.849434 20.490005
125.935360 27.760010
128.940524 41.010002
171.356321 43.980003
155.783009 45.320000
146.748895 40.090004
140.236936 33.630005
164.485588 29.850006
165.077117 21.380005
141.876883 31.600006
151.387018 33.380005
175.419393 31.029999
143.713392 32.200012
104.706778 32.990005
104.069857 33.090012
129.677049 34.200012
125.302050 35.490005
100.049631 30.660004
114.070374 32.419998
151.519506 36.830002
110.638560 31.070007
103.500002 39.290009
105.781213 34.960007
102.032226 34.230011
104.793230 23.360016
93.960362 31.660004
118.980066 23.920013
93.249843 12.080002
125.002836 13.450012
94.295227 9.230011
114.728712 9.970001
119.064583 6.440002
117.547162 0.479996
103.149236 4.960007
117.837444 5.050003
126.690897 3.460007
101.817482 7.060013
128.977710 5.090012
160.933624 12.369995
140.815359 15.720001
109.172368 20.300003
99.253819 38.910004
137.736113 27.279999
112.533693 31.310013
131.574730 27.070007
144.307833 20.680008
133.635285 26.410004
114.518383 23.730011
124.058634 19.850006
130.904206 22.770004
126.962650 20.170013
115.614671 13.440002
94.706336 10.419998
82.039236 13.870010
69.394182 14.639999
85.296843 19.589996
95.801820 24.220001
83.226191 26.169998
105.983969 24.940018
104.388695 21.450012
140.461658 29.690002
116.812945 27.320007
118.806103 25.389999
130.456620 32.570007
133.824687 33.760010
148.994835 39.650009
107.428828 20.839996
105.640124 28.720001
93.519194 21.630005
130.038388 25.380005
135.688444 24.250015
104.612560 23.040009
84.729653 11.340012
101.784659 14.169998
85.572608 7.559998
100.464922 2.920013
84.228990 4.170013
66.968079 3.849976
75.216286 6.759979
76.112535 5.120010
82.969939 3.580017
78.129342 2.729980
88.901113 5.240005
82.739329 0.370010
80.821043 2.110001
70.029289 -0.200012
78.666711 -0.149994
76.291065 -0.740021
80.817553 -0.859985
81.597752 -1.460007
100.776260 -0.379990
85.447310 -0.619980
90.323755 2.960007
94.655412 0.359985
91.365705 1.039993
91.491192 0.970001
97.744118 5.670013
116.871379 10.020004
113.330941 9.510010
109.101076 -0.250000
108.268665 1.979996
112.209229 2.360001
111.804274 2.989990
113.616188 2.780014
111.310953 0.810013
96.937389 0.359985
105.165837 -1.269989
92.514394 -2.290009
94.126537 -2.830017
99.654304 1.150009
105.347096 1.830002
102.018502 -1.029984
101.030021 -4.819992
121.147341 3.229996
106.582233 -0.050018
104.447827 -0.399994
118.266360 2.260010
110.296427 2.610016
98.817042 4.590012
87.791652 3.060013
101.041397 2.800003
97.529571 0.759995
115.353359 2.870010
106.987504 1.010010
95.118514 -1.509995
102.263618 -2.710007
109.409789 -2.319992
103.144984 -2.830017
102.219422 0.040009
105.257363 1.800003
114.806220 1.340012
115.355011 2.790009
100.875211 4.509995
102.955549 3.809998
112.044417 2.569992
98.734688 -1.789993
105.358216 -0.789993
98.176546 -1.549988
91.884548 0.500015
86.439195 -0.859985
92.610975 0.079987
108.651053 0.780014
97.672758 -0.389999
107.509512 -0.289993
101.442513 -1.430023
102.399005 -2.889999
109.713455 -0.660004
94.123994 -1.419983
86.407307 -1.199997
96.682060 -1.209991
95.455331 1.600021
96.204933 0.580002
95.887326 0.460007
91.844236 -1.379990
99.102106 -0.559998
104.171247 -1.040009
109.925076 1.629974
101.305576 2.930008
95.788576 1.530014
102.394586 2.100006
115.086353 4.560013
106.610103 -2.580002
105.221981 2.490005
93.137476 -3.359985
85.915585 -1.569992
99.249554 1.370010
100.355193 0.280014
103.207334 1.930008
112.778472 5.270004
94.282590 0.930008
88.283140 -0.859985
85.443989 0.910019
90.128242 0.479996
84.835294 -1.180008
85.168808 -3.020004
88.714069 -0.330017
93.474790 1.990005
90.866272 -2.420013
96.492875 -0.660004
99.638359 1.430008
91.879956 5.420013
94.593794 3.690018
81.592354 2.260010
94.064846 3.520004
87.907595 5.300003
94.476456 -0.439987
93.878187 4.530014
98.071499 5.449997
97.901053 5.300003
100.004867 -2.879990
94.216641 0.090012
105.660398 1.240005
113.687690 2.070007
95.448523 3.139984
91.528365 0.209991
91.545815 5.059998
89.605124 5.090012
101.041380 1.650009
100.389899 0.589996
95.810950 2.190018
92.059953 1.199982
90.089322 1.750015
84.722132 4.960007
89.346086 5.220016
80.985951 3.690018
96.253547 5.520004
85.801373 1.449997
79.414836 3.139984
88.101101 2.169983
95.125286 1.230011
80.399991 -1.199997
90.070352 -0.059982
91.345514 -2.270020
85.634051 1.139999
90.773967 1.550003
93.126187 7.330017
83.977939 6.889984
82.926830 7.690002
106.366112 8.669998
94.554639 3.569977
93.617352 3.310013
81.786101 -2.720001
76.768934 4.789993
83.052133 1.889984
93.505201 2.900009
89.678982 -0.449997
98.644190 -0.229996
96.597504 1.139999
96.880230 1.370010
90.686083 -3.419998
104.518988 -3.529984
90.655061 -3.099991
103.745275 -1.269989
93.206406 3.139984
112.358953 -2.190002
108.373257 -2.099991
115.273498 -0.559998
113.113554 -1.139984
110.322908 1.380005
103.456250 -5.000000
105.553917 1.260010
108.064127 3.919998
125.833759 4.580002
131.109461 3.170013
140.996860 6.739990
125.888771 6.120010
139.773003 5.320007
143.517703 4.789993
137.295589 0.800003
141.888673 4.840012
129.247098 -1.799988
143.630408 0.120010
143.684930 2.540009
123.378440 1.559998
118.394312 0.370010
117.559403 3.310013
122.125790 0.850006
130.273672 -1.529999
127.535698 -0.559998
134.522656 0.919983
133.498044 1.110001
111.828428 -1.470001
122.027891 2.380005
129.310881 3.679993
125.034816 0.759995
137.530581 0.220016
130.102843 1.729996
119.972355 -0.269989
123.400956 3.510010
133.788004 0.990005
131.412931 2.660004
129.119100 -0.360001
117.263736 3.819992
122.143910 4.080002
128.562946 3.880005
118.080259 2.330017
125.458381 -2.109985
143.978950 -1.379990
145.174375 1.820007
139.480405 0.680008
137.951826 1.759979
143.314122 4.120010
132.707574 6.210007
131.830580 -1.559982
132.477938 2.060013
136.914580 0.970001
133.808515 -2.169998
143.391082 1.010010
130.497619 -0.369995
138.156662 0.209991
117.503574 -0.919998
122.284350 3.009979
111.751295 1.550003
115.421202 1.370010
106.557106 6.240005
106.758233 5.940018
110.824662 2.330017
116.305133 4.889999
114.609170 2.630005
117.504394 3.159973
115.155993 3.819992
127.663161 3.419983
121.007355 2.910004
111.834800 1.160004
114.360319 -0.059982
96.626418 -4.389999
115.357288 0.729996
102.091594 -4.240005
96.863739 0.690002
105.346677 4.089996
97.847375 1.780014
91.798446 -1.860016
97.550530 -0.529999
102.281190 2.970001
106.652902 3.089996
96.224068 2.440018
109.596344 4.570007
113.837183 5.330002
118.057999 4.600006
111.632531 0.910019
97.785087 -3.300003
104.763744 2.900009
102.262431 5.930008
98.928756 3.800003
97.953588 -3.909988
96.743983 -1.799988
110.381838 3.150009
97.375196 5.120010
121.100573 6.869995
126.718291 2.579987
126.175488 1.309998
114.522698 1.950012
129.765640 -0.399994
142.301569 4.150009
124.881810 3.389999
110.097642 2.380005
104.317158 1.810013
99.235568 2.790009
96.940216 -0.110001
94.698139 1.850006
118.831589 2.989990
108.602561 0.280014
121.122396 2.550003
121.714321 0.400009
117.292498 3.150009
132.619390 1.880020
128.645396 4.479996
143.406100 4.840012
150.521510 2.030014
139.881083 0.630020
136.030877 0.970001
137.204185 2.780014
136.877842 0.570007
134.823673 -1.430023
150.103953 -0.009995
142.663173 2.800003
148.849387 2.380005
143.179229 2.760010
129.143301 -0.229996
124.388352 -3.619995
118.526344 2.490005
120.890514 -2.789993
121.937699 1.029999
122.856456 0.860001
126.787162 2.970001
140.294175 4.669983
126.554563 0.990005
115.999658 3.139984
121.278914 -1.180008
118.009764 1.400009
111.216312 1.360016
122.411776 0.910019
119.424862 -0.389999
125.905208 -0.749985
118.051401 -1.649994
119.688145 -1.999985
118.220512 1.000000
113.122367 0.470001
116.362977 0.820007
117.726444 -0.409988
118.792497 -0.360001
122.328885 -2.339996
125.572293 3.940002
124.404808 3.600006
130.284196 1.410004
118.852138 -3.459991
109.203205 0.759995
103.137136 -0.189987
112.047555 2.230011
109.737606 -3.020004
105.192876 0.570007
109.559788 2.780014
105.437210 -2.500000
106.925854 -0.529999
101.151654 -4.589996
111.247517 1.710007
114.469636 -1.220001
115.862059 0.940018
119.358274 -4.049988
124.704135 4.940018
124.719037 0.680008
125.534389 1.559998
128.077853 -0.439987
116.144770 -4.199997
131.306789 -1.639999
124.326742 -2.529984
119.027869 -0.259995
130.371343 4.170013
124.217727 2.190018
132.503317 0.600006
134.065721 2.440018
131.357232 4.819977
135.344086 4.120010
140.659356 4.720001
147.922877 1.820007
128.042976 4.990005
129.791987 1.419998
134.866946 0.520004
132.208550 2.210007
133.145583 0.350021
137.954962 4.050003
137.845901 1.680008
136.444277 3.620010
135.835545 1.220016
134.771932 1.520004
139.365499 -0.229996
143.470068 -1.629990
139.655608 -2.059998
145.397139 -1.279984
143.655508 2.260010
150.225233 0.280014
142.425791 0.069992
147.368157 0.209991
150.004056 3.170013
147.079799 1.530014
159.508870 3.900009
150.577675 2.410004
153.723129 3.310013
147.830753 -0.879990
154.587214 2.360001
139.700521 -0.269989
148.885902 -2.559982
153.681565 0.580002
136.200976 1.190018
165.345989 4.229996
161.772736 1.490005
158.779273 3.919998
160.588701 4.779999
159.248059 2.630005
147.854288 3.470001
136.945066 1.470016
134.435009 2.429993
139.519112 1.080017
144.758233 0.870010
136.693329 3.259995
133.119649 2.240005
138.523456 1.440002
143.438083 -3.699997
153.518305 -0.689987
156.260581 0.139999
158.834451 -0.360001
149.600296 2.299988
146.628419 1.609985
156.017416 1.150009
154.752191 0.520004
160.896295 3.009979
151.942525 0.430008
151.276565 -0.549988
149.535657 0.690002
149.438155 2.720016
151.366081 3.690018
159.610207 1.370010
156.696924 2.050003
154.370921 2.559998
162.932412 3.190002
164.822939 2.289993
162.235028 3.910004
165.176945 5.339996
157.918298 3.220001
154.609928 -0.029984
144.489757 0.850006
150.124145 -1.190002
160.009397 0.899994
151.002122 0.769989
140.726927 0.430008
160.269754 2.440018
159.556775 2.070007
162.077271 1.699997
164.299528 3.760010
162.186192 0.740005
157.220832 2.279999
158.033045 5.740005
165.157028 3.660004
152.288239 -0.870026
159.654215 0.659973
152.682245 -2.700012
157.162766 0.789978
149.615592 0.700012
151.196679 2.090012
162.289608 2.800003
159.078469 1.900009
152.510761 4.010010
162.988318 4.229996
149.771891 0.860001
158.863612 1.260010
146.485508 -0.740021
147.699026 0.980011
158.546148 2.019989
153.144193 0.069992
157.443119 2.160019
153.451951 -1.339996
162.241410 1.940002
152.435677 -0.849991
153.620694 0.099976
141.857426 -0.789993
150.445981 0.530014
149.759398 0.870010
157.200157 1.380005
153.333494 4.129974
157.757740 0.940018
145.248693 1.620010
144.926162 0.910019
143.291868 0.589996
148.188859 2.050003
143.125915 -0.369995
151.977498 1.020004
137.809911 3.300018
149.067880 4.949982
140.696677 1.810013
137.870072 3.679993
138.503577 -0.719986
148.650494 -1.979996
151.575632 1.049988
152.879949 2.110001
144.269007 -0.460022
150.857907 0.990005
138.458755 -1.899994
145.816326 2.200012
150.694833 2.709991
150.318240 0.500015
144.568689 4.270004
144.786752 2.250000
148.504496 3.860016
145.961132 1.820007
144.401865 -1.719986
155.911317 1.069977
156.406992 4.109985
141.643079 -0.089996
146.437653 -0.989990
148.726216 -0.269989
156.815469 3.600006
142.789871 2.500000
141.283756 -1.269989
138.724177 -3.619995
144.177279 -0.189987
132.263911 -2.739990
126.560026 -0.619980
131.459400 0.209991
113.471395 0.180008
119.318949 -0.539993
133.833587 2.180008
132.894326 2.470016
140.276655 0.789978
142.247335 -0.210007
137.926241 0.370010
132.452397 -2.939987
131.123355 3.930008
127.450376 -1.320007
140.645082 2.460007
138.424068 -1.209991
141.931770 -1.059998
148.932274 5.050003
144.825291 4.330002
136.000304 1.230011
144.413536 2.650009
143.636087 4.880005
135.059246 1.540009
137.664884 2.900009
142.943073 2.419998
148.025303 -2.239990
151.981961 2.380005
152.683175 1.690002
140.901147 -2.509995
163.425471 -0.319992
158.093379 -2.779999
160.604676 -1.009995
147.828277 0.840012
153.268887 0.300003
151.377720 -1.399994
149.654905 -0.800003
151.443363 -2.680023
163.957927 3.870010
152.227471 -0.039993
155.039184 -0.829987
161.186852 0.830002
144.189902 -1.129990
153.514239 0.750000
143.930448 1.240005
145.629114 -1.389999
148.966730 0.750000
149.038832 -1.539993
147.649179 -0.760010
150.087979 0.199997
150.526306 -1.020020
149.535112 -0.399994
153.155149 -0.289993
150.425659 2.979996
153.861937 2.090012
156.560110 0.260010
150.825209 -0.569992
149.000577 -0.239990
158.074988 -0.460022
160.603647 3.430008
158.403981 3.720016
161.332649 -0.169983
158.970198 3.490005
147.400724 2.620010
147.288888 -1.589981
151.485628 -1.180008
142.137436 -0.529999
145.714308 1.759979
157.482787 2.569992
155.958317 -1.150024
154.116180 -0.529999
153.139461 2.429993
148.912546 1.199982
164.945677 4.109985
164.261838 5.940018
154.939716 -0.050018
157.470716 0.390015
